AdditionalInfoId,DetailMarketId,PriceRange,AreaSize,AvailableSpaces,ParkingSpots,Toilets,OperationTime,Transportation,VendorNotes
19,19,150  10000,-,17,500 คัน,11 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 11.3021.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
20,20,-,-,16,60 คัน,12 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  21.00 น.,-,ราคาเป็นธรรม พูดคุยกันได้
21,21,-,-,15,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 16.00  22.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
22,22,-,-,15,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 16.00  24.00 น.,-,ตลาดเปิดโซนใหม่ ด้านหน้าตลาดเป็นโซนตลาดนัด เปิดรับร้านค้าหลายประเภท รับอาหาร แฟชั่น เบ็ดเตล็ด ทำเลดี ติดถนนผู้คนสัญจรไปมา ติดถนนใหญ่ ซอยวัดศรีวารีน้อย ติดถนนบางนาตราด ลาดกระบัง
23,23,-,-,15,300 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 04.00  21.00 น.,-,ตลาดกว้างขวาง สะอาด ค่าเช่าแผงถูกสุดๆๆ
24,24,-,-,13,-,-,เปิดทุกวันเสาร์ และ อาทิตย์ เวลา 16.00  22.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
25,25,300  500 บาท/วัน,250 ไร่,13,1500 คัน,200 ห้อง,เปิดทุกวัน 24 ชั่วโมง,รถมินิบัสกรุงเทพราชบุรีสาย76,ยินดีต้อนรับร้านค้าทุกประเภท
26,26,-,-,11,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 05.00  18.00 น.,BTS สถานีอ่อนนุช,ยินดีต้อนรับร้านค้าทุกประเภท
27,27,-,-,11,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  20.30 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
28,28,"150  5,400 บาท",-,10,30 คัน,5 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 15.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
29,29,"1,000 บาทขึ้นไป/สัปดาห์",-,10,20 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.30  22.00 น.,รถยนต์ส่วนตัว,พื้นที่ และ Kios รับสมัครร้านค้า ทำสัญญารายเดือน/รายปี สำหรับร้านขนาดเล็ก 4 ตารางเมตร หรือ ร้านขนาดใหญ่ยินดีต้อนรับร้านค้าทุกประเภท
30,30,-,-,10,300 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
31,31,"2,500  3,000 บาท",-,10,30 คัน,2 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 15.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
32,32,50  100 บาท/วัน,-,10,20 คัน,2 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 15.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
33,33,600 บาทขึ้นไป,-,10,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 09.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
34,34,"3,000  13,000 บาท",-,10,100 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
35,35,-,-,10,-,-,เปิดทุกวัน 24 ชั่วโมง,-,ยินดีต้อนรับร้านค้าทุกประเภท
36,36,"40  3,500 บาท",-,10,40 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 15.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
37,37,-,-,9,-,-,เปิดทุกวัน จันทร์ศุกร์ เวลา 06.00  15.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
38,38,"2,500  3,500 บาท/เดือน",3 ไร่,9,50 คัน,8 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  23.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
39,39,-,-,9,7 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.30  16.30 น.,BTS สถานีพระโขนง,ช้วยกันดูแลตลาดให้สะอาด ใส่ใจในการบริการ
40,40,-,-,9,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  21.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
41,41,"4,000  8,000 บาท",3 ไร่,8,70 คัน,9 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 11.30  21.30 น.,รถโดยสารประจำทาง,ตลาดอาหารแห่งใหม่ย่านคูคต ลำลูกกา รวมร้านเด็ดตัวตึงในที่เดียว มีลานเบียร์ ขายเบียร์ช้างราคาถูกที่สุดในประเทศ จอดรถในร่ม
42,42,-,-,8,200 คัน,10 ห้อง,เปิดทุกวัน จันทร์ศุกร์ เวลา 05.00  14.00 น.,-,ตลาดเช้าสำหรับลูกค้าหน่วยงานราชการการยาสูบ
43,43,"1,350  6,500 บาท",615 ตารางเมตร,8,50 คัน,8 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  24.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
44,44,-,-,8,500 คัน,50 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 07.00  19.00 น.,-,ตลาดในร่มเก่าแก่สุดคึกคักที่ขายผักผลไม้ อาหารทะเล เนื้อสัตว์ ของใช้ในครัวเรือน และอาหารปรุงสำเร็จ
45,45,-,-,8,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 03.00  09.00 น. และเวลา 16.00  21.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
46,46,-,-,7,75 คัน,160 ห้อง,เปิดวัน อังคารอาทิตย์ เวลา 05.00  24.00 น.,รถโดยสารประจำทาง,ช่วยรักษาความพร้อม จัดระเบียบตามที่กำหนด และจำหน่ายสินค้าในราคาที่ยุติธรรม
47,47,"670  3,395 บาท",-,7,100 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 03.00  15.00 น.,รถโดยสารประจำทาง,จัดระเบียบแผงค้า ความสะอาด และความสวยงาม
48,48,-,-,7,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  22.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
49,49,-,-,6,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 09.00  23.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
50,50,"3,000  4,000 บาท/เดือน",-,6,200 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  23.00 น.,รถยนต์ส่วนตัว,เป็นตลาดที่ใหญ่ ไม่แออัด มีสินค้าขายที่หลากหลายและอยู่ในพื้นที่เขตชุมชน
51,51,-,-,6,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 05.00  19.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
52,52,70 บาท/วัน,-,6,50 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  22.00 น.,รถโดยสารประจำทาง สาย 68,ตลาดรัตนาพร เทียนทะเล ตลาดดีๆ เขตบางขุนเทียน โดยตลาดมีสินค้าหลากหลายไม่ว่าจะของสด อาหาร สินค้าต่างๆ หรือของใช้ และตลาดยังอยู่ในใจกลางชุมชน
53,53,"2,500  3,000 บาท/เดือน",14 ไร่,6,200 คัน,30 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  22.00 น.,รถยนต์ส่วนตัว,อยากเชิญชวนให้พ่อค้า แม่ค้า เข้ามาขายของที่นิวทาวน์ยินดีต้อนรับร้านค้าทุกประเภท
54,54,-,-,6,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  18.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
55,55,-,-,5,400 คัน,1 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 15.00  23.00 น.,-,ตลาดเลียบคลองสำโรง ตลาดนัดเปิดใหม่ ขอเชิญพ่อค้าแม่ค้าที่ต้องการหาพื้นที่ขายสินค้ามาร่วมงานกัน ตลาดพื้นที่มากกว่า 10 ไร่ ห้องน้ำสะอาด จอดรถสะดวก ราคาพื้นที่เช่าแสนถูก สามารถติดต่อที่สำนักงานขายตลาดเลียบคลองสำโรงได้ทุกวัน หรือโทร 0655195523
56,56,"7,800 บาทขึ้นไป/เดือน",-,5,500 คัน,28 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 11.00  22.00 น.,รถยนต์ส่วนตัว,"จุดเด่นทำเล​1. Foodie Market Bangna (ฟู้ดดี้ มาร์เก็ต บางนา) ตั้งอยู่บนถนนทางเข้าออก เส้นบางนา กม.8 และราม 2 ​ 2. อยู่บริเวณย่านหมู่บ้านและชุมชนที่มีครอบครัวและกลุ่มวัยทำงานอาศัยอยู่เป็นจำนวนมาก, ผู้คนสัญจรตลอดทั้งวัน ​ 3. มีพื้นที่เช่าบูธพร้อมอยู่ มีเคาน์เตอร์และปลั๊กไฟในบูธ พร้อมระบบรักษาความปลอดภัย 24 ชม.​ 4. มีโต๊ะบริการสำหรับให้ลูกค้านั่งทานอาหารมากกว่า 150 โต๊ะ​ กลุ่มลูกค้า​ กลุ่มครอบครัวและกลุ่มวัยทำงานในพื้นที่​ใกล้เคียง"
57,57,-,-,5,-,-,เปิดทุกวัน เสาร์อาทิตย์ เวลา 09.00  14.00 น.,-,ตลาดสุดสัปดาห์แบบเรียบง่าย มีแผงขายงานศิลปะพื้นเมืองและงานฝีมือ รวมถึงมีสตรีทฟู้ดและดนตรีสด
58,58,-,-,5,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 02.00  11.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
59,59,4500,-,5,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 16.00  24.00 น.,รถยนต์ส่วนตัว,ขายฟรี เดือนมิถุนายน 2567
60,60,-,-,5,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  19.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
61,61,-,-,4,-,5 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 07.00  16.00 น.,รถบัส,ตลาดมีความสะอาดและเป็นระเบียบเรียบร้อย
62,62,-,-,4,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 05.00  02.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
63,63,"3,500 บาทขึ้นไป / เดือน",2 ไร่,4,40 คัน,20 ห้อง,เปิดทุกวัน จันทร์ศุกร์ เวลา 07.30  20.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
64,64,-,2 X 2 เมตร,4,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 05.00  01.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
65,65,"3,000  10,000 บาท",30 ไร่,4,1000 คัน,50 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
66,66,-,-,4,400 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 12.00  24.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
67,67,-,-,4,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  23.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
68,68,-,-,4,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 04.00  12.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
69,69,-,-,4,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  21.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
70,70,-,-,4,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 05.00  21.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
71,71,-,-,4,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  20.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
72,72,-,-,3,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  22.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
73,73,-,-,3,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  20.30 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
74,74,-,-,3,-,-,เปิดทุกวัน จันทร์อาทิตย์ เวลา 16.00  23.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
75,75,-,-,3,500 คัน,15 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  22.00 น.,-,-
76,76,"7,000  20,000 บาท/เดือน",-,3,-,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 08.00  20.00 น.,รถโดยสารประจำทาง,ยินดีต้อนรับร้านค้าทุกประเภท
77,77,-,-,3,300 คัน,30 ห้อง,เปิดทุกวัน 24 ชั่วโมง,-,ยินดีต้อนรับร้านค้าทุกประเภท
78,78,"500 บาท/วัน, 15,000 บาท/เดือน, กรณีเซ้งสิทธิ์ค่าเช่า 3,000  50,000 บาท/เดือน",30 ไร่,2,350 คัน,40 ห้อง,เปิดทุกวัน 24 ชั่วโมง,รถยนต์ส่วนตัว,ตลาดใหม่ชลบุรี ตลาดค้าส่งที่ใหญ่ที่สุดในภาคตะวันออก #สด สะอาด น่าเลือกซื้อ
79,79,-,2 ไร่,2,50 คัน,6 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 09.00  22.00 น.,-,ยินดีต้อนรับร้านค้าทุกประเภท
80,80,"5,000 บาทขึ้นไป / เดือน",5 ไร่,2,80 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  24.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
81,81,"1,500 บาท / เดือน",2 ไร่,2,60 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 12.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
82,82,"1,500 บาทขึ้นไป / เดือน",2 ไร่,2,20 คัน,4 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.30  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
83,83,100 บาทขึ้นไป / วัน,3 ไร่,2,20 คัน,15 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 06.00  22.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
84,84,"4,000 บาทขึ้นไป / เดือน",2 ไร่,2,40 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  22.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
85,85,-,2 ไร่,2,20 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 14.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
86,86,"5,500 บาทขึ้นไป / เดือน",2 ไร่,2,30 คัน,14 ห้อง,เปิดทุกวัน จันทร์ศุกร์ เวลา 09.00  21.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
87,87,40 บาทขึ้นไป / วัน,4 ไร่,2,80 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 16.00  19.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
88,88,150 บาทขึ้นไป / วัน,2 ไร่,2,30 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 09.00  20.00 น.,BTS สถานีพหลโยธิน 59,ยินดีต้อนรับร้านค้าทุกประเภท
89,89,100 บาทขึ้นไป / วัน,50 ไร่,2,2000 คัน,50 ห้อง,เปิดทุกวัน 24 ชั่วโมง,MRT สถานีไฟฉาย,ยินดีต้อนรับร้านค้าทุกประเภท
90,90,"5,000 บาทขึ้นไป / เดือน",3 ไร่,2,60 คัน,20 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 17.00  24.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
91,91,-,2 ไร่,2,20 คัน,10 ห้อง,เปิดทุกวัน 24 ชั่วโมง,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
92,92,"2,400 บาทขึ้นไป / เดือน",40 ไร่,2,200 คัน,100 ห้อง,เปิดทุกวัน พฤหัสบดีอาทิตย์ เวลา 17.00  01.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
93,93,"10,000 บาทขึ้นไป / เดือน",2 ไร่,2,40 คัน,10 ห้อง,เปิดทุกวัน จันทร์อาทิตย์ เวลา 10.00  23.00 น.,รถยนต์ส่วนตัว,ยินดีต้อนรับร้านค้าทุกประเภท
94,94,100  150 บาท/วัน (ขึ้นอยู่กับตำแหน่ง),1.65 x 1.45 เมตร,2,-,-,เปิดทุกวัน วันจันทร์วันศุกร์ เวลา 08.3015.30 น. และ วันเสาร์วันอาทิตย์ เปิด 24 ชั่วโมง,-,ยินดีต้อนรับร้านค้าทุกประเภท
