DetailMarketId,MarketId,MarketDetail,RatingDetail,AddressDetail,GoogleMapLink
11,11,ตลาดเยสบางพลี YesBangphli,4.20 (774),201/ข ม.1 ถนนเทพารักษ์ ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJExoP6hRbHTERSRhiFwQLnQ8
12,12,ตลาดกิเลน,"4.40 (1,201)",19/32 หมู่ที่ 5 ถนนศาลายาบางภาษี ตำบลศาลายา อำเภอพุทธมณฑล นครปฐม 73170  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJQ6KNZ3uT4jARnW9TLPa2CpM
13,13,ตลาดโต้รุ่งไนท์มาเก็ตเพชรบุรี,5.00 (1),"683/24 หมู่ 5 บ้านหม้อ, เมืองเพชรบุรี, เพชรบุรี 76000  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJER8AFawn_TARchK9gr-x_uQ
14,14,ตลาดอมร (ปากซอยแอนเน็กซ์ พหลโยธิน58),"4.00 (1,045)",แอนแน็กซ์ 99 ม.6 ซ.พหลโยธิน 58 แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJA2kkTeh9HTERB_kheS4U9ak
15,15,ตลาดสดสมบูรณ์อ้อมน้อย,3.90 (135),ตำบลอ้อมน้อย อำเภอกระทุ่มแบน สมุทรสาคร 74130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJz-3WBoaV4jARMOOO8kl8Eo4
16,16,ตลาดเสนีย์ฟู้ด,4.20 (530),แขวงบางหว้า เขตภาษีเจริญ กรุงเทพมหานคร 10160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJUfGnSyuZ4jARxGSZmlCLWf8
17,17,Sila Market ตลาดศิลามาร์เก็ต,4.30 (114),ซ.สุขสวัสดิ์22 30/4 แขวงบางประกอก เขตราษฏร์บูรณะ จังหวัดกรุงเทพมหานคร 10140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJe_TDhEej4jARPP_yOUqUMSY
18,18,ตลาดหงษ์แก้ว,4.20 (151),168 ถนนทางหลวงชนบทสมุทรปราการ 3005 ตำบลศีรษะจรเข้ใหญ่ อำเภอบางเสาธง สมุทรปราการ 10540  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJDRVFd65DHTERYn54NrvTcHI
19,19,ตลาดธันยา,"4.40 (1,804)",หมู่ 2 ถ.เพชรเกษม ตำบลอ้อมใหญ่ อำเภอสามพราน นครปฐม 73160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ75joUVCV4jARlkf5DlvjBJs
20,20,บ้านปทุมมาร์เก็ต,4.40 (17),7/13 ต.บ้านปทุม อ.สามโคก จ.ปทุมธานี 12160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJlZ1ePv1_HTER0PBBXehMh5k
21,21,สตาร์ไนท์บาซ่าร์ ระยอง,"4.20 (2,818)",สาย 4 ซอย 5 ตำบลท่าประดู่ อำเภอเมืองระยอง ระยอง 21000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJQxtP6mv8AjERvjIvNBucE-o
22,22,ลองมาซิเออ ไนท์มาร์เก็ต,0.00 (0),"88, 99 Srivaree rd, ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJqZPyaryX4jARQuKmJ1jKwbU
23,23,ตลาดกระดิ่งทอง มหาชัย,4.40 (27),19/15 ม.4 ต.นาดี อ.เมือง จ.สมุทรสาคร 74000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJB6BOk2G54jARjgexJoZEgpg
24,24,ตลาดใจFull Market นครนายก,4.70 (3),ตำบลสาริกา อำเภอเมืองนครนายก จังหวัดนครนายก 26000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ5ceaSGWzHTER4SrU5FOzJAw
25,25,ตลาดกลางผักและผลไม้จังหวัดราชบุรี (ตลาดศรีเมือง),"4.30 (2,709)",533 ถนนศรีสุริยวงศ์ ตำบลหน้าเมือง อำเภอเมืองราชบุรี ราชบุรี 70000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJqSqShFYv4zARAinQ68CtUvA
26,26,ตลาดอ่อนนุช โซนเหนือ,"4.20 (1,266)",ถ.อ่อนนุช แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJf0W7ycGf4jARTYMdsFzTInw
27,27,ตลาดแม่อุทัย,4.30 (151),160 ซอยเพชรเกษม 54 แขวงบางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ1xohHUCX4jARpvRIbwaP5Kk
28,28,ตลาดรวยมาร์เก็ต ประชาอุทิศ 90,4.20 (421),141/9 ประชาอุทิศ 90 ตำบลบ้านคลองสวน อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10290  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJAV64Dz2l4jARN8h3WTxe304
29,29,THE 27 AVENUE,5.00 (1),5199/1 ถ.สุขเกษม แขวงรัชดาภิเษก ดินแดง กรุงเทพมหานคร 10400  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJUfhn25ye4jAReWx8VyFezac
30,30,ฟู้ดดี้ฟาร์ม บางใหญ่,4.30 (367),8 10 หมู่ 8 ถนนบางม่วง  บางคูลัด ตำบลบางม่วง อำเภอบางใหญ่ จังหวัดนนทบุรี 11140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJzfg8W5-R4jARdASwIeyiO6w
31,31,ตลาดนัดเพิ่มพูนทรัพย์ สาขา 5,4.90 (8),139/9 ซอยแพรกษา 10 ตำบลแพรกษา อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10280  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJM2jZm_hZHTERKNtkuMl1AJQ
32,32,ตลาดเพิ่มพูนทรัพย์ สาขา 2,4.30 (4),10280 ซ.สุนทรวิภาค ตำบลแพรกษาใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10540  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJO3knsZQBHDERkh-DLlRxx6s
33,33,ตลาดมหาดไทย 3,5.00 (2),81 ตลาดมหาดไทย 3 ถ.เฉลิมพระเกียรติ ร๙ แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ7V4yGKNfHTERTPSV8m74_R0
34,34,ตลาดร้อยปี เลเจนด์สยาม พัทยา,"4.20 (1,896)",139 หมู่ 8 ถ.สุขุมวิท ตำบลนาจอมเทียน อำเภอสัตหีบ ชลบุรี 20250  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJwbGVSGuSAjER_mBdC4pDfOE
35,35,ยิ่งเจริญ สแควร์,4.30 (154),651 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJJ3ZMt6OD4jARrbbAeXl-1Wo
36,36,ตลาดนัดประชาอุทิศ ​90,4.40 (161),89 ซอย 17 ตำบลในคลองบางปลากด อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10290  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJrXuuBfGl4jARya_lotJJ1Ig
37,37,อนามัย พาร์ค  Anamai Park,4.40 (7),88 กรมอนามัย กระทรวง 22 ซอยสาธารณสุข 3 ตำบลตลาดขวัญ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJCatV9Lub4jARU4KKlAA5EC4
38,38,ตลาดสี่ตะวัน,4.20 (30),ถนนไทยรามัญ แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ9U17-OGf4jARaVIXMABYh3s
39,39,ตลาดสิงหา,5.00 (1),1332 ถ. สุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJe9WHkfmf4jARRTVolHpegLU
40,40,ตลาดนายใหญ่,4.30 (507),57 ถนนเลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJsUVcRLdjHTERwSMSpqMhshA
41,41,ตลาดคูคต สเตชั่น,4.90 (232),21/88 หมู่ 18 ตำบลคูคต อำเภอลำลูกกา จ.ปทุมธานี 12130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJGX3rr419HTER_p1xjtkMbKQ
42,42,ตลาดนัดยาสูบ TOAT​ FOOD MARKET,0.00 (0),"184 ถ.พระราม 4, แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJP1qbfxCf4jARKf_3yLh4sgA
43,43,ตลาดก้านเหลือง,4.10 (372),159 หมู่ 3 ถนนอุบลตระการ ตำบลขามใหญ่ อำเภอเมือง จังหวัดอุบลราชธานี 34000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJT3mgjGOHFjERPnpqYjCL8Cs
44,44,ตลาดศูนย์การค้ามีนบุรี,4.50 (19),521 ซ.สีหบุรานุกิจ 15 ถ.สีหบุรานุกิจ เขตมีนบุรี จังหวัดกรุงเทพมหานคร 10510  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJMfmj37FlHTERUNq_cyohaxs
45,45,ตลาดเดอะวอล์ค พานทอง,4.10 (679),"99, 3127 ตำบลหนองกะขะ อำเภอพานทอง ชลบุรี 20160  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJ9Q1dO_0wHTERIDfzos7Gtn4
46,46,ตลาดนัดจตุจักร,"4.40 (48,045)","587, 10 ถ.กำแพงเพชร 2 แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJ3fiD6BSc4jARS324hNeR8ZE
47,47,ตลาดประชานิเวศน์ 1,"4.10 (2,256)",ถนนเทศบาลสงเคราะห์ แขวงลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJj8StEpGc4jARq5qXS-SDRDk
48,48,ตลาดนครหลวง,3.90 (459),261 108 ถ.จรัญสนิทวงศ์ แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJXadi6buZ4jARlaVXjuU_udo
49,49,ตลาดเจวา มาร์เก็ต  JVaMarket,3.80 (45),ถ.กาญจนาภิเษก ตำบลบางม่วง อำเภอบางใหญ่ นนทบุรี 11140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ-WlUWz-Q4jARPDJ8zoGhiqc
50,50,ตลาดเดินเล่นเพชรเกษม 81,4.00 (69),ถนนมาเจริญ แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJT0eyeUm_4jARE-W04aLpo0Y
51,51,ตลาดบุญเรือง,4.20 (526),"99/35, 99/35 ซอย เฉลิมพระเกียรติ ร. 9 แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJJ3p-YNNfHTERSOrarTXnvQw
52,52,ตลาดรัตนพร,3.70 (86),84/4 ซอยเทียนทะเล 20 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJDSRED7m84jARsmxXi4LFDYE
53,53,นิวทาวน์ คอมมูนิตีมอลล์ สกลนคร,4.70 (6),โครงการนิวทาวน์ 11 ถนนประชาอุทิศ ตำบลธาตุนาเวง อำเภอเมืองสกลนคร สกลนคร 47000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJc-DUw2eNPDEROWTka1oZqlA
54,54,พลาซ่า ลากูน,"4.20 (1,706)",ถ.ลาดพร้าววังหิน แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJJyQstqad4jAR4TGQgHw67Fc
55,55,ตลาดเลียบคลองสำโรง,4.90 (119),สุขุมวิท 113 ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJGwD7BeGh4jARm2nlQOOBRqY
56,56,Foodie Market Bangna ฟู้ดดี้บางนา,4.70 (7),ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ 10540  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ9ShO_7ZfHTERwqwmPqGft60
57,57,ฉำฉา มาร์เก็ต,"4.50 (1,359)","13, 16 หมู่ 2 ซอย 11, ตำบลสันกลาง อำเภอสันกำแพง เชียงใหม่ 50130  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJHQBra3sl2jAR5WP0LL6iN5s
58,58,ตลาดใหญ่ลำลูกกา,4.00 (684),69/1 หมู่ 11 ตำบลลำลูกกา อำเภอลำลูกกา ปทุมธานี 12150  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJh-83ncx7HTERlCfw2-x6G90
59,59,ตลาดทูบี มาร์เก็ต หลังเซ็นทรัลพระราม 2,4.60 (22),19 พระรามสอง ซอย 54 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJcbbzWcW94jARGz_I15T_62k
60,60,ตลาดสดท่าวังทอง,4.20 (534),122 ถนนพะเยาป่าแดด ท่าวังทอง อำเภอเมืองพะเยา พะเยา 56000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ11jut5Ys2DAR1j7ckappjEQ
61,61,ตลาดพระเครื่องวงเวียนเล็ก,4.50 (590),อยู่เชิงสะพานพระปกเกล้า ถ.ประชาธิปก แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJs_0Y_hyZ4jARGh0OOUSIXJc
62,62,ตลาดประจวบ​จิง​จิง​,4.10 (7),ถนนเจริญประเทศ ตำบลช้างคลาน อำเภอเมืองเชียงใหม่ เชียงใหม่ 50100  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJLeQDEzQx2jARnoB-ADitiQo
63,63,จิรกานต์ มาร์เก็ต  Jirakarn Market,4.60 (219),ถ.บางกรวย  ไทรน้อย ตำบลไทรน้อย อำเภอไทรน้อย นนทบุรี 11150  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ65hd1RGL4jARBTzrc7GIR9I
64,64,ตลาดเพชรทองใบ,4.50 (15),นิคมฯสมุทรสาคร 15 ตำบลท่าทราย อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJKZ8qOFrH4jARH1-K8fQf6H4
65,65,ตลาดบางกระดี่เฮียชุ้น,4.10 (356),31 ถ.บางกระดี่ แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJl1DVw4684jARFgf0dnLSgqU
66,66,ตลาดนัดเจริญทรัพย์รุ่งเรือง ไนท์มาร์เก็ต,4.00 (13),อำเภอคลองหลวง ปทุมธานี 12120  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJfU1ayzGB4jARVWOCBhvOoE4
67,67,ยู อเวนิว  U Avenue,4.30 (28),ตำบลกำแพงแสน อำเภอกำแพงแสน นครปฐม 73140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ6TAjw2X_4jARTM0ia16KOpo
68,68,Market square พันท้ายนรสิงห์,4.30 (39),98/8 หมู่ 5 ตำบลพันท้ายนรสิงห์ อำเภอเมืองสมุทรสาคร สมุทรสาคร 74000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJK9zJRcO74jAR2P3lI0Dj5lk
69,69,ตลาดหน้า ม.  More Market,"4.50 (3,146)",ถนนเชื่อมสัมพันธ์ แขวงกระทุ่มราย เขตหนองจอก กรุงเทพมหานคร 10530  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJk_JF_0I62jAR3cmwGLpSmd4
70,70,ตลาดพันท้ายมาร์เก็ต,4.60 (42),"86, พันท้ายนรสิงห์, เมืองสมุทรสาคร, สมุทรสาคร 74000  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJay7VG3a74jARFZn2CmghDjY
71,71,ศูนย์การค้าเอ็กซ์โปภูเก็ต EXPO Phuket,3.90 (648),"9, 3 ถ. ติลกอุทิศ 2 ตำบลตลาดใหญ่ อำเภอเมืองภูเก็ต ภูเก็ต 83000  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJ7-_3_gEyUDAROK8e7lVu0A0
72,72,ฟู้ด มาร์เก็ต ตลาดนัดพุทธมณฑลสาย 3,4.20 (293),959 ถนนพุทธมณฑลสาย 3 แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ41HPh0-R4jARtDP0KGdMMA4
73,73,ตลาดนัดซีซ่าร์,0.00 (0),ตำบลคลองสาม อำเภอคลองหลวง ปทุมธานี 12120  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJs91reACBHTERBYwC_DaXflk
74,74,ตลาดทองคำ (วรประทาน),4.20 (276),"249, 1 ถนนสันป่าข่อย ตำบลช้างม่อย อำเภอเมืองเชียงใหม่ เชียงใหม่ 50000  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJ77pL9Ks62jARNJW6yclCgK8
75,75,ตลาดสดรามอินทรา กม.9,3.90 (181),489/3 รามอินทรา กม.9 ถนนรามอินทรา แขวงรามอินทรา เขตคันนายาว กทม. 10230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJZzho_hxjHTERZtPSnvW_Yu0
76,76,ตลาดมารวย ปิ่นเกล้า,4.60 (765),3/124 ถ.บรมราชชนนี แขวงอรุณอมรินทรฺ เขตบางกอกน้อย กรุงเทพ  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJI_mJooaZ4jARhKzCxHPeBVE
77,77,ตลาดไชยทิศ,4.30 (544),777 ตลาดไชยทิศ ถนนเลียบทางรถไฟตลิ่งชัน แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJJSLe0_WZ4jARIKPPSu4ewVs
78,78,ตลาดใหม่ชลบุรี,4.30 (310),ซอยบ้านสวนสุขุมวิท 9 ตำบลบ้านโขด อำเภอเมืองชลบุรี จังหวัดชลบุรี 20000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJT_bUqZA1HTERqGz9baSv8a0
79,79,เสนีย์บาซ่าร์,4.20 (199),ถ.เพชรเกษม แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJRzWaA6iZ4jARtqJZFrQOrI0
80,80,ตลาดอัศวรรณ,4.40 (49),168 บ้านใหม่ หมู่ที่ 5 ตำบลบ้านใหม่ อำเภอปากเกร็ด นนทบุรี 11120  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJox9vfvuD4jARoT_zf1N14ho
81,81,ตลาดพุทธสาคร,3.90 (16),ตำบลสวนหลวง อำเภอกระทุ่มแบน สมุทรสาคร 74110  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJn8a_B--_4jARstq4yrHWwWg
82,82,ตลาด MT Market,0.00 (0),เลขที่ 76/1 ถนนจักกะพาก อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJt68wYWen4jARn20obys6KMQ
83,83,ตลาดสะพานแดงมาร์เก็ต,4.10 (962),172 ซอย 12 ตำบลประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJqSqL1SN-HTERzSn0oHE72-c
84,84,ตลาดมิ่งมิตร รามอินทรา กม.9,4.20 (21),ซอยรามอินทรา 85 แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJg0YEZuFjHTERwuh3_x7YUE8
85,85,ตลาดคู่สร้าง,"4.20 (1,011)",134/8 ซอย 1 ตำบลปากคลองบางปลากด อำเภอพระสมุทรเจดีย์ สมุทรปราการ 10270  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJbai760eh4jARepCOfE2tVvQ
86,86,ตลาดนางลิ้นจี่ มาร์เก็ต  Nanglinchi Market,4.10 (188),99/30 ซอย 5 ถนน 321 เขตยานนาวา กรุงเทพมหานคร 10120  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJGzzn7wGf4jARoA4wrfQNN-k
87,87,ตลาดนัดหน้าวัดธรรมะ,4.20 (661),ซอย รังสิต  นครนายก 14 ตำบลประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJc4cIPBt-HTERoDkdnR0tiME
88,88,พรหมภรณ์ ฟู้ดมาร์เก็ต  ตลาดรุ่งณภา,0.00 (0),แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ElDguJ7guKvguKXguYLguKLguJjguLTguJkgNDgg4LmB4Lii4LiBIDE3IEFudXNhd2FyaSwgQmFuZyBLaGVuLCBCYW5na29rLCBUaGFpbGFuZCIuKiwKFAoSCaPB0UilguIwEYevq2mBbQgtEhQKEgk3BwSbsoLiMBFQieJdsgABBA
89,89,ศูนย์กลางตลาดดอกไม้ ปากคลองตลาดใหม่,"4.30 (4,221)",499 ถ.พรานนก  พุทธมณฑลสาย 4 แขวงบางพรม เขตตลิ่งชัน กรุงเทพมหานคร 10170  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ-VBRkNmZ4jARRAPKDdeLxg8
90,90,ตลาดนัดจิงโจ้ จันทบุรี,3.90 (7),21 ถ.มหาราช ตำบลวัดใหม่ อำเภอเมืองจันทบุรี จันทบุรี 22000  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJdSwcL1qBBDER6rgz8161XN8
91,91,แอเรีย 46 อ่อนนุช 46  Area 46,4.30 (80),628 ซอยอ่อนนุช 46 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJ3YgrQahhHTER1wAKC6XxSvU
92,92,ตลาดนัดรถไฟ ศรีนครินทร์,"4.40 (16,101)",1 4 ถ.ศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพมหานคร 10250  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJDYDMLHBgHTERm8DRBile97w
93,93,Groove Market,4.40 (235),"70, 6 ซอยบ้านตั้งสิน ตำบลศาลายา อำเภอพุทธมณฑล นครปฐม 73170  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJH4wmzB2T4jAR7DAoWW3y22g
94,94,ตลาดสี่แยกบางนา,"3.80 (2,466)",21 ถนนสรรพาวุธ บางนาใต้ เขตบางนา จังหวัดกรุงเทพมหานคร 10260  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJB-SDYRCg4jARlYQTgtLOLnk
95,95,ซีเค พลาซ่า  CK PLAZA PLUAKDEANG RAYONG,"4.20 (2,672)",ถ.เทศบาลพัฒนา ตำบลปลวกแดง อำเภอปลวกแดง ระยอง 21140  ดูแผนที่,https://www.google.com/maps/place/?q=place_id:ChIJDTOtUvTcAjERYCvCIGd6ijA
96,96,ตลาดพรีเมี่ยม ไร่ขิง 18,3.90 (7),"188, 18, ตำบลไร่ขิง อำเภอสามพราน นครปฐม 73110  ดูแผนที่",https://www.google.com/maps/place/?q=place_id:ChIJm8wjcEyV4jARYM5HpLwHAYA
