MarketId,MarketName,MarketRating,MarketAddress,MarketPrice,UrlImageProfile,LinkDetail
30,ฟู้ดดี้ฟาร์ม บางใหญ่,4.30 (367),"เมืองราชบุรี, ราชบุรี",4000,https://dx0z0m6vobblr.cloudfront.net/markets/ฟู้ดดี้ฟาร์ม-บางใหญ่/82e3f8d666e244989b9d64224a12aabc.jpg,https://thaimarket.biz/markets/ฟู้ดดี้ฟาร์ม-บางใหญ่
31,ตลาดนัดเพิ่มพูนทรัพย์ สาขา 5,4.90 (8),"เมืองราชบุรี, ราชบุรี",140,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดนัดเพิ่มพูนทรัพย์-สาขา-5/12404E2B-DFEF-4780-9ECB-61B23D0728F2.jpeg,https://thaimarket.biz/markets/ตลาดนัดเพิ่มพูนทรัพย์-สาขา-5
32,ตลาดเพิ่มพูนทรัพย์ สาขา 2,4.30 (4),"เมืองราชบุรี, ราชบุรี",2500,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดเพิ่มพูนทรัพย์-สาขา-2/1721036912273.jpg,https://thaimarket.biz/markets/ตลาดเพิ่มพูนทรัพย์-สาขา-2
33,ตลาดมหาดไทย 3,5.00 (2),"เมืองราชบุรี, ราชบุรี",600,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดมหาดไทย-3/5656.jpg,https://thaimarket.biz/markets/ตลาดมหาดไทย-3
34,ตลาดร้อยปี เลเจนด์สยาม พัทยา,"4.20 (1,896)","เมืองราชบุรี, ราชบุรี",3000,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดร้อยปี-เลเจนด์สยาม-พัทยา/332959417_731992054969432_262958447106886374_n.jpg,https://thaimarket.biz/markets/ตลาดร้อยปี-เลเจนด์สยาม-พัทยา
35,ยิ่งเจริญ สแควร์,4.30 (154),"เมืองราชบุรี, ราชบุรี",19000,https://dx0z0m6vobblr.cloudfront.net/image_64db4048dfdbcafc80f1eec5_1694067662056.jpg,https://thaimarket.biz/markets/ยิ่งเจริญ-สแควร์
36,ตลาดนัดประชาอุทิศ ​90,4.40 (161),"เมืองราชบุรี, ราชบุรี",80,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดนัดประชาอุทิศ-90/445174444_473566535245672_5226361487570639389_n.jpg,https://thaimarket.biz/markets/ตลาดนัดประชาอุทิศ-90
37,อนามัย พาร์ค  Anamai Park,4.40 (7),"เมืองนนทบุรี, นนทบุรี",100,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65c44873772fd63cfc43754b_714c8229_a2de_4495_bad0_336b998eb55d.jpg,https://thaimarket.biz/markets/อนามัย-พาร์ค-anamai-park
38,ตลาดสี่ตะวัน,4.20 (30),"เมืองนนทบุรี, นนทบุรี",2500,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดสี่ตะวัน/S__43098116 - DODEE TOURChanel.jpg,https://thaimarket.biz/markets/ตลาดสี่ตะวัน
39,ตลาดสิงหา,5.00 (1),"เมืองนนทบุรี, นนทบุรี",1340,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f93ec7fafeb5ff589d1009_7869c03c_32df_4da8_9a12_2ca30cdd66cb.jpg,https://thaimarket.biz/markets/ตลาดสิงหา
40,ตลาดนายใหญ่,4.30 (507),"เมืองนนทบุรี, นนทบุรี",150,https://dx0z0m6vobblr.cloudfront.net/image_64db41d9dfdbcafc80f1eed8_1692096827561.jpg,https://thaimarket.biz/markets/ตลาดนายใหญ่
41,ตลาดคูคต สเตชั่น,4.90 (232),"เมืองนนทบุรี, นนทบุรี",4000,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดคูคต-สเตชั่น/Logo.jpg,https://thaimarket.biz/markets/ตลาดคูคต-สเตชั่น
42,ตลาดนัดยาสูบ TOAT​ FOOD MARKET,0.00 (0),"เมืองนนทบุรี, นนทบุรี",300,https://dx0z0m6vobblr.cloudfront.net/market/image/image_661f59992bab64bf28aeb61f_e6f873f6_67c7_4568_b6dc_4546b8afdb20.jpg,https://thaimarket.biz/markets/ตลาดนัดยาสูบ-toat-food-market
43,ตลาดก้านเหลือง,4.10 (372),"เมืองนนทบุรี, นนทบุรี",100,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดก้านเหลือง/327146826_482960117161632_6518777198714534935_n.jpg,https://thaimarket.biz/markets/ตลาดก้านเหลือง
44,ตลาดศูนย์การค้ามีนบุรี,4.50 (19),"เมืองนนทบุรี, นนทบุรี",5000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_6507f92a4b673e0ad23d44ef_eab23ac0_de5a_49b3_a7e9_4af1142079bf.jpg,https://thaimarket.biz/markets/ตลาดศูนย์การค้ามีนบุรี
45,ตลาดเดอะวอล์ค พานทอง,4.10 (679),"เมืองนนทบุรี, นนทบุรี",160,https://dx0z0m6vobblr.cloudfront.net/image_646744d9b031d2ce0da53a45_1684491446342.jpg,https://thaimarket.biz/markets/ตลาดเดอะวอล์ค-พานทอง
46,ตลาดนัดจตุจักร,"4.40 (48,045)","เมืองนนทบุรี, นนทบุรี",2300,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f94de3fafeb5ff589d11e9_ebb24458_8775_4ad0_b2fa_1c386f197133.jpg,https://thaimarket.biz/markets/ตลาดนัดจตุจักร
47,ตลาดประชานิเวศน์ 1,"4.10 (2,256)","เมืองนนทบุรี, นนทบุรี",1385,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f94c3efafeb5ff589d1180_c2288215_24e0_4ba2_8762_06202befbc8d.jpg,https://thaimarket.biz/markets/ตลาดประชานิเวศน์-1
48,ตลาดนครหลวง,3.90 (459),"เมืองนนทบุรี, นนทบุรี",4000,https://dx0z0m6vobblr.cloudfront.net/image_6467d989b031d2ce0da53b2d_1684583775689.jpg,https://thaimarket.biz/markets/ตลาดนครหลวง
49,ตลาดเจวา มาร์เก็ต  JVaMarket,3.80 (45),"บางใหญ่, นนทบุรี",12000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_659768af81c46e86f41f4dd0_5627cb0d_4a69_42d2_b3ba_77ba49b843fc.jpg,https://thaimarket.biz/markets/ตลาดเจวา-มาร์เก็ต-j-vamarket
50,ตลาดเดินเล่นเพชรเกษม 81,4.00 (69),"บางใหญ่, นนทบุรี",4000,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดเดินเล่นเพชรเกษม-81/385384_0.jpg,https://thaimarket.biz/markets/ตลาดเดินเล่นเพชรเกษม-81
51,ตลาดบุญเรือง,4.20 (526),"บางใหญ่, นนทบุรี",150,https://dx0z0m6vobblr.cloudfront.net/market/image/image_657bd00685978dbd0e17a58f_1800e738_05b3_4677_b49d_b4358f6d63dd.jpeg,https://thaimarket.biz/markets/ตลาดบุญเรือง
52,ตลาดรัตนพร,3.70 (86),"บางใหญ่, นนทบุรี",70,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดรัตนพร/366181842_828617278726780_553201638691341786_n - Apinya Noppakun.jpg,https://thaimarket.biz/markets/ตลาดรัตนพร
53,นิวทาวน์ คอมมูนิตีมอลล์ สกลนคร,4.70 (6),"บางใหญ่, นนทบุรี",90,https://dx0z0m6vobblr.cloudfront.net/markets/นิวทาวน์-คอมมูนิตีมอลล์-สกลนคร/1722268224352.jpg,https://thaimarket.biz/markets/นิวทาวน์-คอมมูนิตีมอลล์-สกลนคร
54,พลาซ่า ลากูน,"4.20 (1,706)","บางใหญ่, นนทบุรี",8500,https://dx0z0m6vobblr.cloudfront.net/image_647f0167f24e090cf0b46707_1687844854160.jpeg,https://thaimarket.biz/markets/พลาซ่า-ลากูน
55,ตลาดเลียบคลองสำโรง,4.90 (119),"บางใหญ่, นนทบุรี",4500,https://dx0z0m6vobblr.cloudfront.net/market/image/image_662a211c2bab64bf28b0a8c7_3888bd2d_aa05_44a0_98f4_3e5d8b0903a6.jpg,https://thaimarket.biz/markets/ตลาดเลียบคลองสำโรง
56,Foodie Market Bangna ฟู้ดดี้บางนา,4.70 (7),"บางใหญ่, นนทบุรี",7800,https://dx0z0m6vobblr.cloudfront.net/markets/foodie-market-bangna/Cover Website à¸à¸£à¸±à¸à¹à¸à¸à¹.png,https://thaimarket.biz/markets/foodie-market-bangna
57,ฉำฉา มาร์เก็ต,"4.50 (1,359)","บางใหญ่, นนทบุรี",150,https://dx0z0m6vobblr.cloudfront.net/market/image/image_658512ff2b035add32f2ade6_f654fb67_1d09_4a52_9264_6430d5446dbb.jpg,https://thaimarket.biz/markets/ฉำฉา-มาร์เก็ต
58,ตลาดใหญ่ลำลูกกา,4.00 (684),"บางใหญ่, นนทบุรี",200,https://dx0z0m6vobblr.cloudfront.net/market/image/image_658532132b035add32f2af77_03361530_7df8_4e4b_bbd4_61edb0a2d7d1.jpg,https://thaimarket.biz/markets/ตลาดใหญ่ลำลูกกา
59,ตลาดทูบี มาร์เก็ต หลังเซ็นทรัลพระราม 2,4.60 (22),"บางใหญ่, นนทบุรี",4500,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดทูบี-มาร์เก็ต-หลังเซ็นทรัลพระราม-2/371985559_122107781984019454_692535481923387016_n.jpg,https://thaimarket.biz/markets/ตลาดทูบี-มาร์เก็ต-หลังเซ็นทรัลพระราม-2
60,ตลาดสดท่าวังทอง,4.20 (534),"บางใหญ่, นนทบุรี",1200,https://dx0z0m6vobblr.cloudfront.net/image_64658df9b031d2ce0da53326_1684388388099.jpeg,https://thaimarket.biz/markets/ตลาดสดท่าวังทอง
61,ตลาดพระเครื่องวงเวียนเล็ก,4.50 (590),"คลองสาน, กรุงเทพมหานคร",965,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65f93e48fafeb5ff589d0fe6_c7ae748f_1067_4a2e_91ca_8d265be8bc53.jpg,https://thaimarket.biz/markets/ตลาดพระเครื่องวงเวียนเล็ก
62,ตลาดประจวบ​จิง​จิง​,4.10 (7),"คลองสาน, กรุงเทพมหานคร",5000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_659bb3d581c46e86f41f8bf7_64fbd713_b373_48f9_8e5e_bbba8d842bdc.png,https://thaimarket.biz/markets/ตลาดประจวบ-จิง-จิง-
63,จิรกานต์ มาร์เก็ต  Jirakarn Market,4.60 (219),"คลองสาน, กรุงเทพมหานคร",150,https://dx0z0m6vobblr.cloudfront.net/markets/จิรกานต์-มาร์เก็ต-jirakarn-market/75317262_2464147707033538_964511322374930432_n.jpg,https://thaimarket.biz/markets/จิรกานต์-มาร์เก็ต-jirakarn-market
64,ตลาดเพชรทองใบ,4.50 (15),"คลองสาน, กรุงเทพมหานคร",120,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดเพชรทองใบ/451264375_1177750443560179_7626325086003473212_n.jpg,https://thaimarket.biz/markets/ตลาดเพชรทองใบ
65,ตลาดบางกระดี่เฮียชุ้น,4.10 (356),"คลองสาน, กรุงเทพมหานคร",3000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_6594fe99ac52740ecca7b7c9_88975a5e_4d3e_4a5d_ad82_5fad93bde2cb.jpeg,https://thaimarket.biz/markets/ตลาดบางกระดี่เฮียชุ้น
66,ตลาดนัดเจริญทรัพย์รุ่งเรือง ไนท์มาร์เก็ต,4.00 (13),"คลองสาน, กรุงเทพมหานคร",1500,https://dx0z0m6vobblr.cloudfront.net/market/image/image_656fed1e85978dbd0e16f62a_398ecf89_1f4e_43fe_8643_25cc99c5a6a9.jpg,https://thaimarket.biz/markets/ตลาดนัดเจริญทรัพย์รุ่งเรือง-ไนท์มาร์เก็ต
67,ยู อเวนิว  U Avenue,4.30 (28),"คลองสาน, กรุงเทพมหานคร",3000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_6597682381c46e86f41f4dc8_a9fb2e29_6a62_4b32_9c97_3195441c445d.jpg,https://thaimarket.biz/markets/ยู-อเวนิว-u-avenue
68,Market square พันท้ายนรสิงห์,4.30 (39),"คลองสาน, กรุงเทพมหานคร",240,https://dx0z0m6vobblr.cloudfront.net/market/image/image_659d649a50851ce900da78e0_48278781_b6b3_44dd_92e8_c699d480f667.jpg,https://thaimarket.biz/markets/market-square-พันท้ายนรสิงห์
69,ตลาดหน้า ม.  More Market,"4.50 (3,146)","คลองสาน, กรุงเทพมหานคร",2000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65b0c30672343c8a39bc1c40_43824c83_5634_4374_b446_9d50419aa7dc.jpg,https://thaimarket.biz/markets/ตลาดหน้า-ม-more-market
70,ตลาดพันท้ายมาร์เก็ต,4.60 (42),"คลองสาน, กรุงเทพมหานคร",150,https://dx0z0m6vobblr.cloudfront.net/market/image/image_64670425b031d2ce0da53911_2ae7258e_4d13_4664_ba51_2bfd9c3658c4.png,https://thaimarket.biz/markets/ตลาดพันท้ายมาร์เก็ต
71,ศูนย์การค้าเอ็กซ์โปภูเก็ต EXPO Phuket,3.90 (648),"คลองสาน, กรุงเทพมหานคร",4000,https://dx0z0m6vobblr.cloudfront.net/image_64971255706584a42c0cd023_1687845921605.jpeg,https://thaimarket.biz/markets/ศูนย์การค้าเอ็กซ์โปภูเก็ต-expo-phuket
72,ฟู้ด มาร์เก็ต ตลาดนัดพุทธมณฑลสาย 3,4.20 (293),"คลองสาน, กรุงเทพมหานคร",120,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65a4c2d3b37d5fac995c1c95_ea3bb578_2e57_4eca_962d_8f2876dbc683.jpg,https://thaimarket.biz/markets/ฟู้ด-มาร์เก็ต-ตลาดนัดพุทธมณฑลสาย-3
73,ตลาดนัดซีซ่าร์,0.00 (0),"คลองหลวง, ปทุมธานี",100,https://dx0z0m6vobblr.cloudfront.net/market/image/image_656d4d03ced060148410ea54_1dcef8ad_8448_41d8_a703_ea0980bb4413.jpg,https://thaimarket.biz/markets/ตลาดนัดซีซ่าร์
74,ตลาดทองคำ (วรประทาน),4.20 (276),"คลองหลวง, ปทุมธานี",900,https://dx0z0m6vobblr.cloudfront.net/market/image/image_65af976072343c8a39bc0a31_9f7bec1d_3ae0_42d4_b73c_c44a4fece77d.png,https://thaimarket.biz/markets/ตลาดทองคำ-วรประทาน-
75,ตลาดสดรามอินทรา กม.9,3.90 (181),"คลองหลวง, ปทุมธานี",10000,https://dx0z0m6vobblr.cloudfront.net/market/image/image_661f48972bab64bf28aeaa62_b14aab1a_9b15_4cda_87d2_cf85014738ac.jpg,https://thaimarket.biz/markets/ตลาดสดรามอินทรา-กม-9
76,ตลาดมารวย ปิ่นเกล้า,4.60 (765),"คลองหลวง, ปทุมธานี",15000,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดมารวย-ปิ่นเกล้า/305973724_600256311661040_2828441677400280811_n.png,https://thaimarket.biz/markets/ตลาดมารวย-ปิ่นเกล้า
77,ตลาดไชยทิศ,4.30 (544),"คลองหลวง, ปทุมธานี",100,https://dx0z0m6vobblr.cloudfront.net/image_646c6641a2361d4859dfb64f_1694062938053.jpg,https://thaimarket.biz/markets/ตลาดไชยทิศ
78,ตลาดใหม่ชลบุรี,4.30 (310),"คลองหลวง, ปทุมธานี",200,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดใหม่ชลบุรี/439004775_950145210231461_6338285430799904816_n.jpg,https://thaimarket.biz/markets/ตลาดใหม่ชลบุรี
79,เสนีย์บาซ่าร์,4.20 (199),"คลองหลวง, ปทุมธานี",4500,https://dx0z0m6vobblr.cloudfront.net/image_642718dddff05d9ee41544b4_1684553810440.jpg,https://thaimarket.biz/markets/เสนีย์บาซ่าร์
80,ตลาดอัศวรรณ,4.40 (49),"คลองหลวง, ปทุมธานี",5000,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดอัศวรรณ/438911036_404610382422732_3372420693917479355_n.jpg,https://thaimarket.biz/markets/ตลาดอัศวรรณ
81,ตลาดพุทธสาคร,3.90 (16),"คลองหลวง, ปทุมธานี",3500,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดพุทธสาคร/300799530_138539865543738_2356795324008636966_n.jpg,https://thaimarket.biz/markets/ตลาดพุทธสาคร
82,ตลาด MT Market,0.00 (0),"คลองหลวง, ปทุมธานี",80,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาด-mt-market/253578566_385366999987614_3160690677983191681_n.jpg,https://thaimarket.biz/markets/ตลาด-mt-market
83,ตลาดสะพานแดงมาร์เก็ต,4.10 (962),"คลองหลวง, ปทุมธานี",240,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดสะพานแดงมาร์เก็ต/309071799_585001640085870_5224972621713773527_n.jpg,https://thaimarket.biz/markets/ตลาดสะพานแดงมาร์เก็ต
84,ตลาดมิ่งมิตร รามอินทรา กม.9,4.20 (21),"คลองหลวง, ปทุมธานี",150,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดมิ่งมิตร-รามอินทรา-กม-9/284180360_398553278994595_4917764174884654920_n.jpg,https://thaimarket.biz/markets/ตลาดมิ่งมิตร-รามอินทรา-กม-9
85,ตลาดคู่สร้าง,"4.20 (1,011)","พระสมุทรเจดีย์, สมุทรปราการ",175,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดคู่สร้าง/1724145753389.jpg,https://thaimarket.biz/markets/ตลาดคู่สร้าง
86,ตลาดนางลิ้นจี่ มาร์เก็ต  Nanglinchi Market,4.10 (188),"พระสมุทรเจดีย์, สมุทรปราการ",300,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดนางลิ้นจี่มาร์เก็ต/387780517_631401409186306_2501138653622423741_n.jpg,https://thaimarket.biz/markets/ตลาดนางลิ้นจี่มาร์เก็ต
87,ตลาดนัดหน้าวัดธรรมะ,4.20 (661),"พระสมุทรเจดีย์, สมุทรปราการ",60,https://dx0z0m6vobblr.cloudfront.net/markets/ตลาดนัดหน้าวัดธรรมะ/309901387_756070338805779_674703104461467442_n.jpg,https://thaimarket.biz/markets/ตลาดนัดหน้าวัดธรรมะ
